KRX코드,YTD수익률,1년수익률,시작일_YTD,시작일_1년,기준일자
0115E0,28.41,,20260102,20250807,20260806
373490,28.02,70.62,20260102,20250807,20260806
229200,-14.16,1.53,20260102,20250807,20260806
233740,-44.88,-25.59,20260102,20250807,20260806
360150,-49.32,-58.9,20260102,20250807,20260806
251340,-11.71,-26.38,20260102,20250807,20260806
461450,-1.16,13.9,20260102,20250807,20260806
226490,45.31,95.97,20260102,20250807,20260806
237350,59.22,134.92,20260102,20250807,20260806
359210,48.38,99.85,20260102,20250807,20260806
337140,52.59,114.06,20260102,20250807,20260806
138920,7.42,10.68,20260102,20250807,20260806
244660,2.39,2.78,20260102,20250807,20260806
375770,51.6,112.4,20260102,20250807,20260806
459560,11.99,43.2,20260102,20250807,20260806
475080,-13.95,-10.03,20260102,20250807,20260806
266410,19.02,11.92,20260102,20250807,20260806
298770,77.68,155.66,20260102,20250807,20260806
476800,-13.57,-10.47,20260102,20250807,20260806
450190,64.62,175.45,20260102,20250807,20260806
450180,-1.73,26.83,20260102,20250807,20260806
266420,-20.97,-4.79,20260102,20250807,20260806
364690,54.38,113.69,20260102,20250807,20260806
487130,51.93,125.46,20260102,20250807,20260806
0074K0,21.12,43.25,20260102,20250807,20260806
471040,39.44,71.21,20260102,20250807,20260806
0132D0,-10.51,,20260102,20250807,20260806
0020H0,18.18,64.22,20260102,20250807,20260806
475070,26.67,63.99,20260102,20250807,20260806
0015B0,37.85,61.46,20260102,20250807,20260806
0104H0,15.64,,20260102,20250807,20260806
0113G0,6.99,,20260102,20250807,20260806
497780,11.94,15.92,20260102,20250807,20260806
490330,24.97,76.37,20260102,20250807,20260806
462900,-35.29,-9.26,20260102,20250807,20260806
482030,-4.47,17.92,20260102,20250807,20260806
476850,41.62,77.46,20260102,20250807,20260806
0051A0,52.57,102.54,20260102,20250807,20260806
495230,55.07,128.24,20260102,20250807,20260806
0093D0,41.39,,20260102,20250807,20260806
488290,47.04,84.18,20260102,20250807,20260806
438740,4.91,12.77,20260102,20250807,20260806
